"APPLICATION_NAME","MODULE_NAME","SERVICE_NAME","TOTAL_TRANSATION","AVERAGE_RESPONSE_TIME","LESS_THAN_5s","RATE_LESS_THAN_5s","BETWEEN_5s_TO_10s","RATE_BETWEEN_5s_TO_10s","BETWEEN_10s_TO_15s","RATE_BETWEEN_10s_TO_15s","BETWEEN_15s_TO_20s","RATE_BETWEEN_15s_TO_20s","MORE_THAN_20s","RATE_MORE_THAN_20s"
"CS2-ACZ-COSCON-PROD","Bill Of Lading Print","B/L Print save view request",143,"9.412587",77,"53.8%",45,"31.4%",11,"7.69%",10,"6.99%",18,"12.5%"
"CS2-ACZ-COSCON-PROD","Bill Of Lading Print","Bill Of Lading Print View BL Process",144,"589.472222",0,"0%",0,"0%",0,"0%",0,"0%",144,"100%"
"CS2-ACZ-COSCON-PROD","Booking Request","Add appointment",1,"2.000000",1,"100%",0,"0%",0,"0%",0,"0%",0,"0%"
"CS2-ACZ-COSCON-PROD","Booking Request","Auto complete on origin, destination when using BR datasource",5413,"1.584519",5311,"98.1%",86,"1.58%",26,"0.48%",15,"0.27%",18,"0.33%"
"CS2-ACZ-COSCON-PROD","Booking Request","Auto complete on origin, destination when using SSM datasoruce",22260,"2.499641",21132,"94.9%",627,"2.81%",248,"1.11%",177,"0.79%",324,"1.45%"
"CS2-ACZ-COSCON-PROD","Booking Request","Auto complete on vessel when using Intended Vessel Voyage",1925,"784.888831",177,"9.19%",0,"0%",15,"0.77%",105,"5.45%",1662,"86.3%"
"CS2-ACZ-COSCON-PROD","Booking Request","Copy booking from shipment detail",40,"17.050000",0,"0%",16,"40%",12,"30%",7,"17.5%",10,"25%"
"CS2-ACZ-COSCON-PROD","Booking Request","Delete draft",9,"135.555556",0,"0%",0,"0%",0,"0%",1,"11.1%",8,"88.8%"
"CS2-ACZ-COSCON-PROD","Booking Request","Delete template",8,"379.000000",0,"0%",0,"0%",0,"0%",0,"0%",8,"100%"
"CS2-ACZ-COSCON-PROD","Booking Request","Find party",4283,"41.103666",3110,"72.6%",247,"5.76%",188,"4.38%",140,"3.26%",713,"16.6%"
"CS2-ACZ-COSCON-PROD","Booking Request","Find sailing schedule",4869,"1.011091",4863,"99.8%",8,"0.16%",0,"0%",0,"0%",1,"0.02%"
"CS2-ACZ-COSCON-PROD","Booking Request","List carrieer assigned templates",11,"19.181818",2,"18.1%",4,"36.3%",1,"9.09%",2,"18.1%",2,"18.1%"
"CS2-ACZ-COSCON-PROD","Booking Request","List drafts",287,"7.118467",213,"74.2%",38,"13.2%",16,"5.57%",8,"2.78%",31,"10.8%"
"CS2-ACZ-COSCON-PROD","Booking Request","List my company templates",37,"416.702703",0,"0%",0,"0%",6,"16.2%",8,"21.6%",25,"67.5%"
"CS2-ACZ-COSCON-PROD","Booking Request","List my templates",4203,"41.894599",946,"22.5%",557,"13.2%",421,"10.0%",423,"10.0%",2180,"51.8%"
"CS2-ACZ-COSCON-PROD","Booking Request","Modify appointment",9,"0.777778",9,"100%",0,"0%",0,"0%",0,"0%",0,"0%"
"CS2-ACZ-COSCON-PROD","Booking Request","Modify draft",129,"64.147287",0,"0%",0,"0%",0,"0%",7,"5.42%",125,"96.8%"
"CS2-ACZ-COSCON-PROD","Booking Request","Modify template",106,"127.311321",0,"0%",0,"0%",0,"0%",13,"12.2%",102,"96.2%"
"CS2-ACZ-COSCON-PROD","Booking Request","Save as draft (create new draft)",99,"56.757576",0,"0%",0,"0%",3,"3.03%",7,"7.07%",92,"92.9%"
"CS2-ACZ-COSCON-PROD","Booking Request","Save as draft (replace existing draft)",24,"98.541667",0,"0%",0,"0%",0,"0%",0,"0%",24,"100%"
"CS2-ACZ-COSCON-PROD","Booking Request","Save as template (create new template)",152,"64.881579",0,"0%",0,"0%",5,"3.28%",11,"7.23%",139,"91.4%"
"CS2-ACZ-COSCON-PROD","Booking Request","Save as template (replace existing template)",94,"230.180851",0,"0%",0,"0%",0,"0%",0,"0%",94,"100%"
"CS2-ACZ-COSCON-PROD","Booking Request","Search booking",4764,"951.548489",121,"2.53%",120,"2.51%",125,"2.62%",137,"2.87%",4361,"91.5%"
"CS2-ACZ-COSCON-PROD","Booking Request","Submit booking : booking receipt",5176,"130.219861",0,"0%",2,"0.03%",10,"0.19%",4,"0.07%",5162,"99.7%"
"CS2-ACZ-COSCON-PROD","Booking Request","Submit booking : booking summary",134,"16.865672",13,"9.70%",45,"33.5%",41,"30.5%",23,"17.1%",37,"27.6%"
"CS2-ACZ-COSCON-PROD","Booking Request","View template",56,"161.071429",0,"0%",0,"0%",0,"0%",5,"8.92%",54,"96.4%"
"CS2-ACZ-COSCON-PROD",CCSC,"CCSC Search Regional Forms",8,"10.500000",5,"62.5%",1,"12.5%",0,"0%",1,"12.5%",1,"12.5%"
"CS2-ACZ-COSCON-PROD",CCSC,"CCSC View Old Regional Form",11,"2090.909091",7,"63.6%",0,"0%",0,"0%",0,"0%",4,"36.3%"
"CS2-ACZ-COSCON-PROD","Cargo Tracking","Cargo Tracking Search - by Booking Number",2,"207.500000",0,"0%",0,"0%",0,"0%",0,"0%",2,"100%"
"CS2-ACZ-COSCON-PROD","Customer Support","Search Customer User",35,"67.885714",4,"11.4%",1,"2.85%",2,"5.71%",4,"11.4%",27,"77.1%"
"CS2-ACZ-COSCON-PROD","Customized Report","Search Template Lists",1,"28.000000",0,"0%",0,"0%",0,"0%",0,"0%",1,"100%"
"CS2-ACZ-COSCON-PROD","Document manager(dm)","PreStore document from file path",116,"794.732759",0,"0%",0,"0%",0,"0%",0,"0%",116,"100%"
"CS2-ACZ-COSCON-PROD","Interaction History","Search Service Request Within ShipmentCoverage",11,"15.000000",2,"18.1%",6,"54.5%",4,"36.3%",0,"0%",1,"9.09%"
"CS2-ACZ-COSCON-PROD",Login,"MCC Logged-in",15,"22.066667",1,"6.66%",0,"0%",3,"20%",5,"33.3%",9,"60%"
"CS2-ACZ-COSCON-PROD","Milestone Plan Template Customization","Subscribe Standard Milestone - Start Page",17,"43.764706",10,"58.8%",0,"0%",0,"0%",1,"5.88%",7,"41.1%"
"CS2-ACZ-COSCON-PROD","Milestone Plan Template Customization","Subscribe User-Defined Milestone - Start Page",10,"4.300000",9,"90%",3,"30%",0,"0%",0,"0%",0,"0%"
"CS2-ACZ-COSCON-PROD","My Request","CCSC View Regional Form",4,"113.750000",0,"0%",0,"0%",0,"0%",0,"0%",4,"100%"
"CS2-ACZ-COSCON-PROD","My Request","Display Regional Form",101,"6773.544554",0,"0%",0,"0%",0,"0%",0,"0%",101,"100%"
"CS2-ACZ-COSCON-PROD","My Request","Save Service Request",81,"793.037037",0,"0%",0,"0%",0,"0%",0,"0%",81,"100%"
"CS2-ACZ-COSCON-PROD","My Request","Search Regional Forms",271,"3.405904",243,"89.6%",30,"11.0%",4,"1.47%",0,"0%",4,"1.47%"
"CS2-ACZ-COSCON-PROD","My Request","Search Shipment By BK",274,"54.521898",3,"1.09%",0,"0%",0,"0%",0,"0%",271,"98.9%"
"CS2-ACZ-COSCON-PROD","Sailing Schedule","Find All Carrier",5592,"0.026109",5592,"100%",0,"0%",0,"0%",0,"0%",0,"0%"
"CS2-ACZ-COSCON-PROD","Sailing Schedule","Find Sailing Schedule Facility Info",16499,"20.392024",2889,"17.5%",1590,"9.63%",5437,"32.9%",4113,"24.9%",4784,"28.9%"
"CS2-ACZ-COSCON-PROD","Sailing Schedule","Find Sailing Schedule Routes",5593,"991.755230",0,"0%",0,"0%",0,"0%",0,"0%",5593,"100%"
"CS2-ACZ-COSCON-PROD","Sailing Schedule","Find Sailing Schedule Service",25,"21.880000",0,"0%",3,"12%",10,"40%",6,"24%",10,"40%"
"CS2-ACZ-COSCON-PROD","Sailing Schedule","Find Sailing Schedule Service Loop Info",22,"89.227273",0,"0%",0,"0%",0,"0%",0,"0%",22,"100%"
"CS2-ACZ-COSCON-PROD","Sailing Schedule","Find Sailing Schedule Vessel Info",59,"32.559322",0,"0%",0,"0%",0,"0%",10,"16.9%",54,"91.5%"
"CS2-ACZ-COSCON-PROD","Sailing Schedule","Find Sailing Schedule Vessel Name and Code",230,"862.865217",30,"13.0%",0,"0%",3,"1.30%",14,"6.08%",187,"81.3%"
"CS2-ACZ-COSCON-PROD","Shipment Details","Search Details Found - by B/L Number",1,"132.000000",0,"0%",0,"0%",0,"0%",0,"0%",1,"100%"
"CS2-ACZ-COSCON-PROD","Shipment Details","Search Details Found - by Booking Number",1152,"38.368924",37,"3.21%",6,"0.52%",42,"3.64%",192,"16.6%",940,"81.5%"
"CS2-ACZ-COSCON-PROD","Shipment Folder","Get Reference Type",54,"1.592593",49,"90.7%",2,"3.70%",3,"5.55%",2,"3.70%",0,"0%"
"CS2-ACZ-COSCON-PROD","Shipment Folder","Retrieve Required Document Status",1167,"8.046272",513,"43.9%",885,"75.8%",263,"22.5%",15,"1.28%",22,"1.88%"
"CS2-ACZ-COSCON-PROD","Shipment Folder","Search document",3,"92.000000",0,"0%",0,"0%",0,"0%",0,"0%",3,"100%"
"CS2-ACZ-COSCON-PROD","Shipment Folder","Search document by BK Number",16,"172.937500",0,"0%",1,"6.25%",1,"6.25%",0,"0%",14,"87.5%"
"CS2-ACZ-COSCON-PROD","Shipment Folder","Search document by BL Number",2,"29.500000",0,"0%",1,"50%",0,"0%",0,"0%",1,"50%"
"CS2-ACZ-COSCON-PROD","Shipment Folder","Search document by Container Number",1,"1212.000000",0,"0%",0,"0%",0,"0%",0,"0%",1,"100%"
"CS2-ACZ-COSCON-PROD","Shipment Folder","Search document by Reference Number",17,"17892.411765",0,"0%",0,"0%",0,"0%",1,"5.88%",16,"94.1%"
"CS2-ACZ-COSCON-PROD","Shipment Folder","Search document in Customer View",29,"2110.448276",4,"13.7%",0,"0%",0,"0%",3,"10.3%",22,"75.8%"
"CS2-ACZ-COSCON-PROD","Shipment Folder","Shipment Document Download",1,"300.000000",0,"0%",0,"0%",0,"0%",0,"0%",1,"100%"
"CS2-ACZ-COSCON-PROD","Shipment Folder","Shipment Folder Save Documents",80,"37.450000",10,"12.5%",28,"35%",6,"7.50%",4,"5%",44,"55.0%"
"CS2-ACZ-COSCON-PROD","Shipment Folder","assign Shipment Document Entity ID",116,"0.344828",116,"100%",1,"0.86%",0,"0%",0,"0%",0,"0%"
"CS2-ACZ-COSCON-PROD","Shipment Folder","assign Shipment Document Entity Version ID",49,"10.285714",48,"97.9%",0,"0%",0,"0%",0,"0%",1,"2.04%"
"CS2-ACZ-COSCON-PROD","Shipment Folder","find All Required Document Names By Booking Number",1,"20.000000",0,"0%",0,"0%",0,"0%",1,"100%",1,"100%"
"CS2-ACZ-COSCON-PROD","Shipment Folder","find All Service Provider Provided Document Types",9,"3.111111",9,"100%",0,"0%",0,"0%",0,"0%",0,"0%"
"CS2-ACZ-COSCON-PROD","Shipment Folder","find All Service Provider Required Document Types",10,"8.000000",2,"20%",8,"80%",1,"10%",1,"10%",0,"0%"
"CS2-ACZ-COSCON-PROD","Shipment Folder","find All Shipment Document Entities",5209,"1.708005",5146,"98.7%",45,"0.86%",28,"0.53%",9,"0.17%",8,"0.15%"
"CS2-ACZ-COSCON-PROD","Shipment Folder","find Service Provider Associated Document Type",49,"2.040816",49,"100%",0,"0%",0,"0%",0,"0%",0,"0%"
"CS2-ACZ-COSCON-PROD","Shipment Folder","find Shipment Folder Summary Result",5,"73.600000",0,"0%",2,"40%",0,"0%",0,"0%",3,"60%"
"CS2-ACZ-COSCON-PROD","Shipment Folder","get Shipment Vessel Voyage",97,"4.237113",81,"83.5%",19,"19.5%",2,"2.06%",1,"1.03%",2,"2.06%"
"CS2-ACZ-COSCON-PROD","Shipper Export Declaration","Find SED ITN Informations",1161,"1.648579",1148,"98.8%",5,"0.43%",4,"0.34%",5,"0.43%",4,"0.34%"
"CS2-ACZ-COSCON-PROD","Shipping Instruction","Change Carrier",22,"4.227273",20,"90.9%",4,"18.1%",0,"0%",2,"9.09%",0,"0%"
"CS2-ACZ-COSCON-PROD","Shipping Instruction","Load Carrier SI Draft",1579,"187.023433",0,"0%",0,"0%",0,"0%",0,"0%",1579,"100%"
"CS2-ACZ-COSCON-PROD","Shipping Instruction","Retrieve Population Data",9945,"141.776973",20,"0.20%",228,"2.29%",110,"1.10%",25,"0.25%",9616,"96.6%"
"CS2-ACZ-COSCON-PROD","Shipping Instruction","Save as Draft",1754,"76.161916",2,"0.11%",0,"0%",0,"0%",0,"0%",1752,"99.8%"
"CS2-ACZ-COSCON-PROD","Shipping Instruction","Save as Template",169,"121.437870",0,"0%",0,"0%",0,"0%",0,"0%",169,"100%"
"CS2-ACZ-COSCON-PROD","Shipping Instruction","Search Shipping Instruction",3781,"652.623645",482,"12.7%",384,"10.1%",469,"12.4%",405,"10.7%",2332,"61.6%"
"CS2-ACZ-COSCON-PROD","Shipping Instruction","Submit Shipping Instruction",5363,"266.830692",0,"0%",0,"0%",0,"0%",0,"0%",5363,"100%"
"CS2-ACZ-COSCON-PROD","Shipping Instruction","Update Template",68,"109.632353",0,"0%",0,"0%",0,"0%",0,"0%",68,"100%"
"CS2-ACZ-COSCON-PROD","User Profile","Get Email Subscriptions",15,"81.066667",10,"66.6%",0,"0%",0,"0%",0,"0%",5,"33.3%"
"CS2-ACZ-COSCON-PROD","User Profile","Modify User Prof",1,"1596.000000",0,"0%",0,"0%",0,"0%",0,"0%",1,"100%"
"CS2-ACZ-COSCON-PROD","User Profile","Update User Prof",3,"1274.333333",0,"0%",0,"0%",0,"0%",0,"0%",3,"100%"
"CS2-ACZ-COSCON-PROD","Vessel Tracking","Vessel Name Auto Complete",4,"531.250000",1,"25%",1,"25%",0,"0%",0,"0%",2,"50%"
